period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2022-Q4,4,2022,7.7,1.2,0.169,3148.0,0.1,16.7,0.06,0.01,15.7,0.021,0.086,20168.0,CTG
2022-Q3,3,2022,7.2,1.1,0.155,2899.0,0.1,16.5,0.061,0.01,15.5,0.032,0.06,19759.0,CTG
2022-Q2,2,2022,8.6,1.2,0.151,2735.0,0.1,16.5,0.061,0.009,15.5,0.046,0.195,19140.0,CTG
2022-Q1,1,2022,12.7,1.6,0.13,2289.0,0.1,16.9,0.059,0.008,15.9,0.05,-0.128,18304.0,CTG
2021-Q4,4,2021,11.6,1.7,0.159,2624.0,0.1,16.4,0.061,0.01,15.4,-0.02,-0.147,17440.0,CTG
2021-Q3,3,2021,9.6,1.7,0.186,3077.0,0.1,15.1,0.066,0.012,14.1,0.025,0.008,17802.0,CTG
2021-Q2,2,2021,13.0,2.3,0.19,3054.0,0.1,15.8,0.063,0.012,14.8,0.015,-0.075,17364.0,CTG
2021-Q1,1,2021,9.2,1.8,0.209,3300.0,0.1,14.6,0.068,0.014,13.6,-0.038,0.16,17101.0,CTG
2020-Q4,4,2020,9.2,1.5,0.169,2846.0,0.1,15.7,0.064,0.011,14.7,0.025,0.246,17769.0,CTG
2020-Q3,3,2020,8.7,1.1,0.14,2284.0,0.1,15.1,0.066,0.009,14.1,0.028,-0.016,17338.0,CTG
2020-Q2,2,2020,6.9,1.0,0.146,2320.0,0.1,15.3,0.065,0.009,14.3,0.028,0.193,16858.0,CTG
2020-Q1,1,2020,6.6,0.8,0.126,1945.0,0.1,15.5,0.064,0.008,14.5,0.019,-0.012,16399.0,CTG
2019-Q4,4,2019,8.1,1.0,0.131,1968.0,0.1,16.0,0.062,0.008,15.0,0.033,0.584,16096.0,CTG
2019-Q3,3,2019,13.0,1.0,0.083,1242.0,0.1,16.1,0.062,0.005,15.1,0.033,0.12,15581.0,CTG
2019-Q2,2,2019,13.4,1.0,0.076,1109.0,0.1,16.3,0.061,0.005,15.3,0.034,-0.008,15085.0,CTG
2019-Q1,1,2019,15.3,1.2,0.079,1118.0,0.1,16.4,0.061,0.005,15.4,0.039,0.019,14591.0,CTG
2018-Q4,4,2018,13.4,1.1,0.081,1097.0,0.1,17.3,0.058,0.005,16.3,-0.035,-0.314,14039.0,CTG
