symbol,organ_name,icb_name2,icb_name3,icb_name4
DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CMI,Công ty Cổ phần CMISTONE Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
HAI,Công ty Cổ phần Nông dược HAI,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
HAF,Công ty Cổ phần Thực phẩm Hà Nội,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
CKA,Công ty Cổ phần Cơ khí An Giang,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
HTE,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
HIO,Công ty Cổ Phần Helio Energy,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
HLB,Công ty Cổ phần Bia và Nước giải khát Hạ Long,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
BXH,Công ty Cổ phần VICEM Bao bì Hải Phòng,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
DM7,Công ty Cổ phần Dệt may 7,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
CNG,Công ty Cổ phần CNG Việt Nam,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DDH,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
BCP,Công ty Cổ phần Dược Enlie,Y tế,Dược phẩm,Dược phẩm
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Bất động sản,Bất động sản,Bất động sản
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
BPC,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
CMM,Công ty Cổ phần Camimex,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
AAS,Công ty Cổ phần Chứng khoán SmartInvest,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Y tế,Dược phẩm,Dược phẩm
BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
DNT,Công ty Cổ phần Du lịch Đồng Nai,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
EIC,Công ty Cổ phần EVN Quốc Tế,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Y tế,Dược phẩm,Dược phẩm
CNA,Công ty Cổ phần Tổng công ty Chè Nghệ An,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
C69,Công ty Cổ phần Xây dựng 1369,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HSM,Tổng Công ty Cổ phần Dệt May Hà Nội,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
C21,Công ty Cổ phần Thế kỷ 21,Bất động sản,Bất động sản,Bất động sản
H11,Công ty Cổ phần Xây dựng HUD101,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DMS,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Bất động sản,Bất động sản,Bất động sản
DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản,Bất động sản,Bất động sản
MVC,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
AVG,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BFC,Công ty Cổ phần Phân bón Bình Điền,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BDG,Công ty Cổ phần May mặc Bình Dương,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
CIG,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
HAT,Công ty Cổ phần Thương mại Bia Hà Nội,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
DAC,Công ty Cổ phần 382 Đông Anh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
HAV,Công ty Cổ phần Rượu Hapro,Thực phẩm và đồ uống,Bia và đồ uống,Vang & Rượu mạnh
FGL,Công ty Cổ phần Cà phê Gia Lai,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
AAM,Công ty Cổ Phần Thủy Sản MeKong,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
CK8,Công ty Cổ phần Cơ khí 120,Bất động sản,Bất động sản,Bất động sản
BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
ASG,Công ty Cổ phần Tập đoàn ASG,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
BTG,Công ty Cổ phần Bao bì Tiền Giang,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
CTA,Công ty Cổ phần Vinavico,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HCC,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
AG1,Công ty Cổ phần 28.1,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
HCI,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HDO,Công ty Cổ phần Hưng Đạo Container,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Truyền thông,Truyền thông,Giải trí & Truyền thông
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Y tế,Dược phẩm,Dược phẩm
BEL,Công ty Cổ phần Điện tử Biên Hòa,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Điện tử tiêu dùng
HDW,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
AAV,Công ty Cổ phần AAV Group,Bất động sản,Bất động sản,Bất động sản
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,Ngân hàng,Ngân hàng
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DRC,Công ty Cổ phần Cao su Đà Nẵng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
HMR,Công ty cổ phần Đá Hoàng Mai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
HAS,Công ty Cổ phần Hacisco,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
ADG,Công ty Cổ phần Clever Group,Truyền thông,Truyền thông,Dịch vụ truyền thông
CAP,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
PCH,Công ty Cổ phần Nhựa Picomat,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
DKC,Công ty Cổ phần Chợ Lạng Sơn,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
HFX,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Bất động sản,Bất động sản,Bất động sản
DLR,Công ty Cổ phần Địa ốc Đà Lạt,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
NBT,Công ty Cổ phần Cấp thoát nước Bến Tre,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
MDG,Công ty Cổ phần Miền Đông,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
DSD,Công ty cổ phần DHC Suối Đôi,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
CMF,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
EME,Công ty Cổ phần Điện Cơ,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Y tế,Dược phẩm,Dược phẩm
CDR,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
AAH,Công ty Cổ phần Hợp Nhất,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
CCA,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
HGT,Công ty Cổ phần Du lịch Hương Giang,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng
ATA,Công ty Cổ phần NTACO,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Bất động sản,Bất động sản,Bất động sản
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
BHA,Công ty cổ phần Thủy điện Bắc Hà,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
CMC,Công ty Cổ phần Đầu tư CMC,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
CST,Công ty Cổ phần Than Cao Sơn - TKV,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
DPC,Công ty Cổ phần Nhựa Đà Nẵng,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
MGR,Công ty cổ phần Tập đoàn MGROUP,Bất động sản,Bất động sản,Bất động sản
GTS,Công ty Cổ phần Công trình Giao thông Sài Gòn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
HJS,Công ty Cổ phần Thủy điện Nậm Mu,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TIN,Công ty Tài chính Cổ phần Tín Việt,Dịch vụ tài chính,Dịch vụ tài chính,Quản lý tài sản
DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
VVS,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
BTW,Công ty Cổ phần Cấp nước Bến Thành,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
HBD,Công ty Cổ phần Bao bì PP Bình Dương,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
CMW,Công ty Cổ phần Cấp nước Cà Mau,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
CCC,Công ty Cổ Phần Xây Dựng CDC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
